NX,NY,num_particles,maxiter,mpi_ranks,omp_threads,total_cores,iteration,interp_time_s,mover_time_s,total_iter_time_s,active_particles
500,200,3600000,10,16,1,16,6,0.004380,0.005253,0.009740,3550952
500,200,3600000,10,16,1,16,7,0.005122,0.005608,0.010836,3540281
500,200,3600000,10,16,1,16,8,0.004779,0.005142,0.010048,3528933
500,200,3600000,10,16,1,16,9,0.004317,0.005156,0.009584,3516512
500,200,3600000,10,16,1,16,10,0.004586,0.005138,0.009821,3504126
500,200,3600000,10,32,1,32,1,0.050024,0.002343,0.052642,3591863
500,200,3600000,10,32,1,32,2,0.110752,0.002587,0.113425,3583817
500,200,3600000,10,32,1,32,3,0.044754,0.002508,0.047352,3577470
500,200,3600000,10,32,1,32,4,0.031046,0.002566,0.033715,3569945
500,200,3600000,10,32,1,32,5,0.005013,0.002534,0.007634,3560463
500,200,3600000,10,32,1,32,6,0.003711,0.002521,0.006318,3550952
500,200,3600000,10,32,1,32,7,0.057058,0.002554,0.059725,3540281
500,200,3600000,10,32,1,32,8,0.049263,0.002579,0.051940,3528933
500,200,3600000,10,32,1,32,9,0.003681,0.002530,0.006296,3516512
500,200,3600000,10,32,1,32,10,0.020714,0.002525,0.023331,3504126
500,200,3600000,10,64,1,64,1,0.020861,0.001117,0.022198,3591863
500,200,3600000,10,64,1,64,2,0.019970,0.001290,0.021348,3583817
500,200,3600000,10,64,1,64,3,0.002315,0.001233,0.003633,3577470
500,200,3600000,10,64,1,64,4,0.025156,0.001240,0.026482,3569945
500,200,3600000,10,64,1,64,5,0.002264,0.001229,0.003583,3560463
500,200,3600000,10,64,1,64,6,0.027696,0.001220,0.028999,3550952
500,200,3600000,10,64,1,64,7,0.014112,0.001215,0.015412,3540281
500,200,3600000,10,64,1,64,8,0.016930,0.001192,0.018206,3528933
500,200,3600000,10,64,1,64,9,0.002676,0.001199,0.003957,3516512
500,200,3600000,10,64,1,64,10,0.009683,0.001211,0.010976,3504126
500,200,20000000,10,1,1,1,1,0.245020,0.278996,0.524239,19969011
500,200,20000000,10,1,1,1,2,0.244166,0.279612,0.523880,19927212
500,200,20000000,10,1,1,1,3,0.244249,0.279712,0.524063,19856419
500,200,20000000,10,1,1,1,4,0.243912,0.281377,0.525393,19782297
500,200,20000000,10,1,1,1,5,0.246877,0.298616,0.545600,19745850
500,200,20000000,10,1,1,1,6,0.267613,0.307775,0.575494,19707771
500,200,20000000,10,1,1,1,7,0.279610,0.290225,0.569945,19657095
500,200,20000000,10,1,1,1,8,0.258829,0.307371,0.566302,19600068
500,200,20000000,10,1,1,1,9,0.279378,0.307406,0.586889,19539820
500,200,20000000,10,1,1,1,10,0.279014,0.306591,0.585714,19480107
500,200,20000000,10,2,1,2,1,0.143418,0.157233,0.300936,19969011
500,200,20000000,10,2,1,2,2,0.142853,0.156805,0.299850,19927212
500,200,20000000,10,2,1,2,3,0.142785,0.157609,0.300510,19856419
500,200,20000000,10,2,1,2,4,0.143211,0.157026,0.300343,19782297
500,200,20000000,10,2,1,2,5,0.142680,0.156383,0.299170,19745850
500,200,20000000,10,2,1,2,6,0.142565,0.156228,0.298998,19707771
500,200,20000000,10,2,1,2,7,0.142367,0.156612,0.299094,19657095
500,200,20000000,10,2,1,2,8,0.142228,0.156478,0.298819,19600068
500,200,20000000,10,2,1,2,9,0.141988,0.156602,0.298693,19539820
500,200,20000000,10,2,1,2,10,0.142019,0.156041,0.298175,19480107
500,200,20000000,10,4,1,4,1,0.063979,0.072894,0.137147,19969011
500,200,20000000,10,4,1,4,2,0.063613,0.073032,0.136748,19927212
500,200,20000000,10,4,1,4,3,0.063621,0.073019,0.136747,19856419
500,200,20000000,10,4,1,4,4,0.063746,0.072814,0.136664,19782297
500,200,20000000,10,4,1,4,5,0.063631,0.073431,0.137167,19745850
500,200,20000000,10,4,1,4,6,0.063236,0.072606,0.136027,19707771
500,200,20000000,10,4,1,4,7,0.063277,0.072677,0.136059,19657095
500,200,20000000,10,4,1,4,8,0.063095,0.072795,0.135993,19600068
500,200,20000000,10,4,1,4,9,0.063135,0.072689,0.135932,19539820
500,200,20000000,10,4,1,4,10,0.063546,0.072689,0.136337,19480107
500,200,20000000,10,8,1,8,1,0.034090,0.041770,0.076054,19969011
500,200,20000000,10,8,1,8,2,0.035695,0.041350,0.077147,19927212
500,200,20000000,10,8,1,8,3,0.035622,0.041193,0.076934,19856419
500,200,20000000,10,8,1,8,4,0.035328,0.041595,0.077040,19782297
500,200,20000000,10,8,1,8,5,0.035097,0.041624,0.076843,19745850
500,200,20000000,10,8,1,8,6,0.034941,0.041704,0.076764,19707771
500,200,20000000,10,8,1,8,7,0.035021,0.041853,0.077087,19657095
500,200,20000000,10,8,1,8,8,0.034907,0.041283,0.076307,19600068
500,200,20000000,10,8,1,8,9,0.034978,0.041999,0.077094,19539820
500,200,20000000,10,8,1,8,10,0.034628,0.041475,0.076209,19480107
500,200,20000000,10,16,1,16,1,0.018778,0.028321,0.047322,19969011
500,200,20000000,10,16,1,16,2,0.020339,0.028610,0.049054,19927212
500,200,20000000,10,16,1,16,3,0.020621,0.028610,0.049349,19856419
500,200,20000000,10,16,1,16,4,0.020469,0.029263,0.049842,19782297
500,200,20000000,10,16,1,16,5,0.020398,0.028680,0.049181,19745850
500,200,20000000,10,16,1,16,6,0.020253,0.028238,0.048603,19707771
500,200,20000000,10,16,1,16,7,0.020431,0.028324,0.048857,19657095
500,200,20000000,10,16,1,16,8,0.020277,0.028465,0.048851,19600068
500,200,20000000,10,16,1,16,9,0.020342,0.030008,0.050464,19539820
500,200,20000000,10,16,1,16,10,0.020181,0.028467,0.048754,19480107
500,200,20000000,10,32,1,32,1,0.019210,0.014022,0.033443,19969011
500,200,20000000,10,32,1,32,2,0.037278,0.013813,0.051176,19927212
500,200,20000000,10,32,1,32,3,0.013133,0.013760,0.026978,19856419
500,200,20000000,10,32,1,32,4,0.022657,0.013884,0.036633,19782297
500,200,20000000,10,32,1,32,5,0.024998,0.013813,0.038899,19745850
500,200,20000000,10,32,1,32,6,0.026419,0.013791,0.040298,19707771
500,200,20000000,10,32,1,32,7,0.022889,0.014813,0.037792,19657095
500,200,20000000,10,32,1,32,8,0.015575,0.013834,0.029497,19600068
500,200,20000000,10,32,1,32,9,0.027987,0.013737,0.041813,19539820
500,200,20000000,10,32,1,32,10,0.018464,0.013771,0.032323,19480107
500,200,20000000,10,64,1,64,1,0.008120,0.007101,0.015431,19969011
500,200,20000000,10,64,1,64,2,0.014038,0.007249,0.021384,19927212
500,200,20000000,10,64,1,64,3,0.021296,0.007319,0.028716,19856419
500,200,20000000,10,64,1,64,4,0.015895,0.007345,0.023336,19782297
500,200,20000000,10,64,1,64,5,0.013912,0.007324,0.021333,19745850
500,200,20000000,10,64,1,64,6,0.010343,0.007261,0.017699,19707771
500,200,20000000,10,64,1,64,7,0.029846,0.007278,0.037223,19657095
500,200,20000000,10,64,1,64,8,0.006318,0.007304,0.013719,19600068
500,200,20000000,10,64,1,64,9,0.016747,0.007211,0.024053,19539820
